TimeGenerated,UserPrincipalName,IPAddress,ResultType,ResultDescription,Location,City,AppDisplayName,ClientAppUsed,DeviceDetail,LogonType,RiskLevelDuringSignIn,IsInteractive,ConditionalAccessStatus,AttackPattern
2026-02-19T17:51:21Z,jane.smith@contoso.com,10.0.0.5,0,Success,United Kingdom,New York,Azure Portal,Chrome 120,MacOS 14,Network,none,True,success,Normal
2026-02-19T17:52:21Z,bob.wilson@contoso.com,172.16.0.20,0,Success,Australia,London,SharePoint Online,Safari 17,MacOS 14,Network,high,False,success,Normal
2026-02-19T17:52:21Z,it.admin@contoso.com,172.16.0.20,0,Success,Australia,Berlin,Microsoft 365 Admin Center,Safari 17,iOS 17,Interactive,none,False,failure,Normal
2026-02-19T17:54:21Z,david.clark@contoso.com,172.16.0.5,0,Success,United Kingdom,London,Azure Portal,Safari 17,iOS 17,Network,none,True,success,Normal
2026-02-19T17:58:21Z,finance01@contoso.com,192.168.1.10,0,Success,United Kingdom,London,Office 365 Exchange Online,Unknown,MacOS 14,Network,none,False,success,Normal
2026-02-19T18:00:21Z,jane.smith@contoso.com,172.16.0.5,0,Success,Germany,London,OneDrive,Chrome 120,Windows 10,Interactive,none,False,success,Normal
2026-02-19T18:00:21Z,helpdesk@contoso.com,172.16.0.5,0,Success,United Kingdom,Berlin,OneDrive,Unknown,MacOS 14,Network,none,True,success,Normal
2026-02-19T18:01:21Z,svc.azure@contoso.com,192.168.1.10,0,Success,Australia,Toronto,OneDrive,Safari 17,iOS 17,RemoteInteractive,none,True,success,Normal
2026-02-19T18:01:21Z,helpdesk@contoso.com,172.16.0.5,0,Success,Australia,Sydney,Azure Portal,Chrome 120,iOS 17,Service,none,True,success,Normal
2026-02-19T18:03:21Z,jane.smith@contoso.com,192.168.1.25,0,Success,Canada,Sydney,SharePoint Online,Unknown,Windows 10,Network,none,False,success,Normal
2026-02-19T18:09:21Z,john.doe@contoso.com,192.168.1.42,0,Success,Germany,Sydney,Outlook Web Access,Safari 17,iOS 17,Network,none,False,success,Normal
2026-02-19T18:14:21Z,svc.backup@contoso.com,10.0.0.12,0,Success,United States,Berlin,Microsoft Teams,Unknown,Windows 10,Interactive,none,False,success,Normal
2026-02-19T18:21:21Z,jane.smith@contoso.com,172.16.0.20,0,Success,Germany,Toronto,SharePoint Online,Chrome 120,MacOS 14,Network,none,False,success,Normal
2026-02-19T18:21:21Z,david.clark@contoso.com,172.16.0.20,0,Success,Canada,Sydney,Azure Portal,Chrome 120,MacOS 13,Interactive,none,True,success,Normal
2026-02-19T18:23:21Z,admin@contoso.com,192.168.1.10,0,Success,United States,Berlin,Outlook Web Access,Firefox 121,iOS 17,RemoteInteractive,none,True,success,Normal
2026-02-19T18:24:21Z,david.clark@contoso.com,10.0.0.12,0,Success,Australia,Toronto,Azure Portal,Internet Explorer 11,MacOS 14,Network,none,True,success,Normal
2026-02-19T18:25:21Z,admin@contoso.com,10.0.0.33,0,Success,Australia,Berlin,OneDrive,Unknown,MacOS 14,Interactive,none,True,failure,Normal
2026-02-19T18:26:21Z,jane.smith@contoso.com,192.168.1.25,0,Success,United Kingdom,Berlin,Azure Portal,Internet Explorer 11,Windows 10,RemoteInteractive,none,False,success,Normal
2026-02-19T18:26:21Z,admin@contoso.com,192.168.1.42,50126,Invalid username or password,Germany,London,OneDrive,Unknown,Unknown,Interactive,none,True,success,Normal
2026-02-19T18:28:21Z,jane.smith@contoso.com,172.16.0.20,0,Success,United States,Sydney,Office 365 Exchange Online,Firefox 121,MacOS 14,Interactive,none,True,success,Normal
2026-02-19T18:31:21Z,mary.jones@contoso.com,172.16.0.5,0,Success,United Kingdom,New York,Office 365 Exchange Online,Unknown,Android 14,Network,none,False,success,Normal
2026-02-19T18:32:21Z,john.doe@contoso.com,172.16.0.5,0,Success,United States,Toronto,Office 365 Exchange Online,Safari 17,Unknown,Network,none,True,notApplied,Normal
2026-02-19T18:32:21Z,john.doe@contoso.com,192.168.1.25,0,Success,Australia,New York,Outlook Web Access,Internet Explorer 11,iOS 17,Interactive,none,True,failure,Normal
2026-02-19T18:32:21Z,sarah.lee@contoso.com,10.0.0.5,0,Success,United Kingdom,Toronto,SharePoint Online,Safari 17,iOS 17,Network,none,True,success,Normal
2026-02-19T18:33:21Z,bob.wilson@contoso.com,192.168.1.10,0,Success,United Kingdom,Sydney,OneDrive,Internet Explorer 11,iOS 17,Network,none,False,success,Normal
2026-02-19T18:34:21Z,jane.smith@contoso.com,192.168.1.25,0,Success,Australia,Toronto,Outlook Web Access,Internet Explorer 11,MacOS 14,Network,none,True,success,Normal
2026-02-19T18:35:21Z,alice.brown@contoso.com,192.168.1.25,50126,Invalid username or password,United States,Toronto,Office 365 Exchange Online,Chrome 120,Unknown,Interactive,none,False,success,Normal
2026-02-19T18:36:21Z,finance01@contoso.com,10.0.0.33,0,Success,United Kingdom,Toronto,Microsoft Teams,Internet Explorer 11,MacOS 13,Interactive,none,True,success,Normal
2026-02-19T18:38:21Z,alice.brown@contoso.com,192.168.1.25,0,Success,Germany,Toronto,Outlook Web Access,Edge 120,MacOS 13,Interactive,none,True,success,Normal
2026-02-19T18:40:21Z,helpdesk@contoso.com,192.168.1.25,0,Success,United Kingdom,New York,Azure Portal,Internet Explorer 11,Unknown,Network,none,True,success,Normal
2026-02-19T18:40:21Z,jane.smith@contoso.com,192.168.1.25,0,Success,United States,Sydney,SharePoint Online,Safari 17,MacOS 14,Network,none,False,success,Normal
2026-02-19T18:44:21Z,admin@contoso.com,192.168.1.25,50126,Invalid username or password,Germany,London,Azure Portal,Firefox 121,iOS 17,Service,none,True,success,Normal
2026-02-19T18:46:21Z,alice.brown@contoso.com,10.0.0.12,0,Success,Australia,Berlin,OneDrive,Chrome 120,MacOS 14,Interactive,none,True,success,Normal
2026-02-19T18:47:21Z,david.clark@contoso.com,10.0.0.5,0,Success,Australia,London,OneDrive,Firefox 121,Windows 11,Network,none,True,success,Normal
2026-02-19T18:47:21Z,jane.smith@contoso.com,192.168.1.25,0,Success,Canada,Sydney,Microsoft 365 Admin Center,Chrome 120,Windows 10,Interactive,low,False,success,Normal
2026-02-19T18:50:21Z,bob.wilson@contoso.com,172.16.0.5,0,Success,United States,Berlin,Microsoft Teams,Chrome 120,MacOS 14,Interactive,none,True,success,Normal
2026-02-19T18:51:21Z,john.doe@contoso.com,192.168.1.25,0,Success,Australia,Sydney,Office 365 Exchange Online,Unknown,Unknown,Interactive,low,False,success,Normal
2026-02-19T18:52:21Z,finance01@contoso.com,172.16.0.20,0,Success,United Kingdom,New York,Outlook Web Access,Unknown,Windows 10,Service,none,False,success,Normal
2026-02-19T18:52:21Z,alice.brown@contoso.com,192.168.1.42,0,Success,Australia,Toronto,Azure Active Directory,Unknown,MacOS 14,Interactive,none,True,success,Normal
2026-02-19T18:55:21Z,sarah.lee@contoso.com,192.168.1.42,0,Success,Germany,New York,Microsoft Teams,Unknown,iOS 17,Network,none,True,success,Normal
2026-02-19T18:59:21Z,helpdesk@contoso.com,10.0.0.12,0,Success,Australia,New York,Outlook Web Access,Chrome 120,Unknown,Interactive,none,True,notApplied,Normal
2026-02-19T19:00:21Z,sarah.lee@contoso.com,10.0.0.5,0,Success,Australia,Toronto,OneDrive,Internet Explorer 11,MacOS 13,Network,none,False,failure,Normal
2026-02-19T19:01:21Z,bob.wilson@contoso.com,172.16.0.20,0,Success,Germany,Sydney,Azure Portal,Safari 17,Android 14,Interactive,none,True,success,Normal
2026-02-19T19:01:21Z,john.doe@contoso.com,10.0.0.33,0,Success,Canada,London,Microsoft Teams,Chrome 120,Android 14,Network,none,True,success,Normal
2026-02-19T19:03:21Z,admin@contoso.com,192.168.1.10,0,Success,Canada,Toronto,Azure Portal,Edge 120,MacOS 13,Batch,none,True,success,Normal
2026-02-19T19:03:21Z,david.clark@contoso.com,10.0.0.12,50126,Invalid username or password,Canada,Berlin,Microsoft Teams,Firefox 121,Unknown,Batch,none,True,notApplied,Normal
2026-02-19T19:04:21Z,guest@contoso.com,192.168.1.10,0,Success,Germany,Sydney,Azure Portal,Edge 120,Android 14,RemoteInteractive,none,True,success,Normal
2026-02-19T19:08:21Z,ceo@contoso.com,10.0.0.5,0,Success,United Kingdom,Toronto,Office 365 Exchange Online,Internet Explorer 11,Unknown,Interactive,none,True,failure,Normal
2026-02-19T19:09:21Z,jane.smith@contoso.com,192.168.1.25,50126,Invalid username or password,Canada,London,Azure Portal,Edge 120,Windows 11,Network,low,False,success,Normal
2026-02-19T19:09:21Z,jane.smith@contoso.com,192.168.1.25,0,Success,Australia,New York,SharePoint Online,Internet Explorer 11,MacOS 14,RemoteInteractive,none,True,success,Normal
2026-02-19T19:18:21Z,svc.backup@contoso.com,10.0.0.12,0,Success,Germany,Berlin,Azure Portal,Unknown,Windows 10,Interactive,high,True,notApplied,Normal
2026-02-19T19:19:21Z,sarah.lee@contoso.com,192.168.1.42,0,Success,United States,Toronto,OneDrive,Internet Explorer 11,iOS 17,Interactive,none,True,success,Normal
2026-02-19T19:20:21Z,alice.brown@contoso.com,192.168.1.10,0,Success,United States,Sydney,Azure Portal,Safari 17,Unknown,Network,none,False,success,Normal
2026-02-19T19:21:21Z,admin@contoso.com,172.16.0.20,50126,Invalid username or password,United Kingdom,London,Microsoft 365 Admin Center,Chrome 120,Unknown,Interactive,none,False,failure,Normal
2026-02-19T19:22:21Z,alice.brown@contoso.com,10.0.0.5,0,Success,Canada,Sydney,Office 365 Exchange Online,Internet Explorer 11,iOS 17,Network,none,False,success,Normal
2026-02-19T19:25:21Z,admin@contoso.com,10.0.0.12,50126,Invalid username or password,Germany,London,Office 365 Exchange Online,Chrome 120,iOS 17,Network,none,True,failure,Normal
2026-02-19T19:25:21Z,ceo@contoso.com,192.168.1.10,0,Success,United States,Sydney,Azure Portal,Firefox 121,MacOS 14,Network,none,False,success,Normal
2026-02-19T19:25:21Z,john.doe@contoso.com,192.168.1.10,0,Success,United States,Toronto,Azure Active Directory,Safari 17,Android 14,Network,none,True,failure,Normal
2026-02-19T19:28:21Z,jane.smith@contoso.com,10.0.0.33,0,Success,United Kingdom,London,SharePoint Online,Firefox 121,Android 14,Batch,none,True,success,Normal
2026-02-19T19:29:21Z,sarah.lee@contoso.com,192.168.1.10,0,Success,United States,Sydney,SharePoint Online,Safari 17,iOS 17,Interactive,none,True,success,Normal
2026-02-19T19:31:21Z,finance01@contoso.com,10.0.0.12,0,Success,United States,New York,Azure Portal,Safari 17,Windows 11,Interactive,none,True,notApplied,Normal
2026-02-19T19:32:21Z,mary.jones@contoso.com,10.0.0.5,0,Success,Canada,London,OneDrive,Unknown,Windows 11,RemoteInteractive,none,False,success,Normal
2026-02-19T19:34:21Z,svc.azure@contoso.com,172.16.0.20,0,Success,Germany,Berlin,OneDrive,Firefox 121,Windows 11,Service,medium,False,success,Normal
2026-02-19T19:35:21Z,svc.backup@contoso.com,10.0.0.5,0,Success,United Kingdom,Toronto,Microsoft Teams,Firefox 121,Windows 11,Interactive,none,True,notApplied,Normal
2026-02-19T19:35:21Z,helpdesk@contoso.com,10.0.0.33,0,Success,United States,Berlin,Microsoft Teams,Chrome 120,MacOS 13,Service,none,True,success,Normal
2026-02-19T19:38:21Z,alice.brown@contoso.com,10.0.0.5,0,Success,United Kingdom,New York,Microsoft 365 Admin Center,Safari 17,iOS 17,RemoteInteractive,none,False,success,Normal
2026-02-19T19:40:21Z,admin@contoso.com,192.168.1.10,0,Success,United Kingdom,Sydney,Microsoft Teams,Edge 120,Android 14,Network,none,False,success,Normal
2026-02-19T19:41:21Z,david.clark@contoso.com,192.168.1.42,0,Success,Australia,London,Outlook Web Access,Edge 120,Android 14,Network,none,True,success,Normal
2026-02-19T19:43:21Z,svc.azure@contoso.com,172.16.0.5,0,Success,Germany,Toronto,Azure Portal,Firefox 121,MacOS 13,Interactive,none,False,success,Normal
2026-02-19T19:46:21Z,sarah.lee@contoso.com,10.0.0.12,0,Success,Germany,London,Azure Active Directory,Internet Explorer 11,Unknown,Interactive,none,True,success,Normal
2026-02-19T19:48:21Z,alice.brown@contoso.com,172.16.0.5,0,Success,Germany,London,SharePoint Online,Safari 17,Windows 10,Interactive,none,False,success,Normal
2026-02-19T19:49:21Z,john.doe@contoso.com,10.0.0.33,0,Success,United States,Sydney,Outlook Web Access,Unknown,Windows 11,Interactive,none,True,failure,Normal
2026-02-19T19:51:21Z,john.doe@contoso.com,192.168.1.10,0,Success,United Kingdom,Sydney,Outlook Web Access,Unknown,MacOS 13,Network,none,True,success,Normal
2026-02-19T19:51:21Z,finance01@contoso.com,172.16.0.20,0,Success,Germany,Toronto,Microsoft 365 Admin Center,Unknown,Android 14,Batch,none,True,success,Normal
2026-02-19T19:51:21Z,alice.brown@contoso.com,172.16.0.20,0,Success,Canada,New York,Azure Active Directory,Chrome 120,MacOS 14,Interactive,none,False,success,Normal
2026-02-19T19:54:21Z,svc.azure@contoso.com,172.16.0.20,0,Success,Australia,Berlin,Microsoft 365 Admin Center,Edge 120,Windows 10,Interactive,none,True,failure,Normal
2026-02-19T19:57:21Z,sarah.lee@contoso.com,192.168.1.25,0,Success,Australia,Toronto,Azure Active Directory,Internet Explorer 11,MacOS 14,Network,none,True,success,Normal
2026-02-19T19:57:21Z,ceo@contoso.com,10.0.0.33,0,Success,Australia,London,Microsoft Teams,Internet Explorer 11,Windows 11,RemoteInteractive,none,False,success,Normal
2026-02-19T19:58:21Z,admin@contoso.com,10.0.0.12,0,Success,United States,New York,SharePoint Online,Firefox 121,Windows 11,Interactive,none,False,notApplied,Normal
2026-02-19T19:59:21Z,alice.brown@contoso.com,192.168.1.25,0,Success,United Kingdom,Berlin,SharePoint Online,Edge 120,Unknown,Network,none,False,success,Normal
2026-02-19T20:02:21Z,alice.brown@contoso.com,10.0.0.12,0,Success,United States,Sydney,OneDrive,Chrome 120,MacOS 14,Network,none,False,success,Normal
2026-02-19T20:04:21Z,jane.smith@contoso.com,192.168.1.25,0,Success,Australia,London,Azure Portal,Firefox 121,MacOS 13,Network,low,False,success,Normal
2026-02-19T20:07:21Z,helpdesk@contoso.com,10.0.0.33,0,Success,Australia,London,Microsoft Teams,Edge 120,Android 14,RemoteInteractive,none,True,notApplied,Normal
2026-02-19T20:12:21Z,admin@contoso.com,172.16.0.5,0,Success,Canada,Toronto,Microsoft 365 Admin Center,Chrome 120,Windows 11,Network,none,True,success,Normal
2026-02-19T20:12:21Z,svc.azure@contoso.com,192.168.1.42,0,Success,Australia,Sydney,SharePoint Online,Firefox 121,MacOS 13,Service,none,False,success,Normal
2026-02-19T20:13:21Z,svc.backup@contoso.com,192.168.1.10,0,Success,United States,New York,Microsoft 365 Admin Center,Safari 17,Unknown,Network,none,True,success,Normal
2026-02-19T20:17:21Z,it.admin@contoso.com,172.16.0.5,0,Success,Germany,New York,Microsoft 365 Admin Center,Safari 17,Windows 10,Interactive,low,False,success,Normal
2026-02-19T20:19:21Z,david.clark@contoso.com,192.168.1.25,0,Success,Germany,Berlin,Azure Active Directory,Edge 120,Unknown,RemoteInteractive,low,False,success,Normal
2026-02-19T20:20:21Z,ceo@contoso.com,172.16.0.20,0,Success,Australia,Berlin,Office 365 Exchange Online,Internet Explorer 11,Unknown,Network,none,True,success,Normal
2026-02-19T20:22:21Z,admin@contoso.com,192.168.1.42,0,Success,United States,Berlin,Azure Active Directory,Safari 17,Windows 11,RemoteInteractive,none,True,success,Normal
2026-02-19T20:23:21Z,alice.brown@contoso.com,192.168.1.10,0,Success,Canada,New York,Azure Active Directory,Firefox 121,Android 14,Network,none,True,success,Normal
2026-02-19T20:24:21Z,jane.smith@contoso.com,192.168.1.25,0,Success,Germany,New York,Microsoft 365 Admin Center,Safari 17,MacOS 14,Network,none,False,success,Normal
2026-02-19T20:24:21Z,jane.smith@contoso.com,10.0.0.12,0,Success,Germany,New York,Microsoft Teams,Safari 17,iOS 17,Service,none,False,success,Normal
2026-02-19T20:25:21Z,mary.jones@contoso.com,192.168.1.42,0,Success,Australia,New York,SharePoint Online,Firefox 121,iOS 17,Service,none,True,success,Normal
2026-02-19T20:27:21Z,john.doe@contoso.com,172.16.0.20,0,Success,United States,Sydney,Microsoft Teams,Internet Explorer 11,Windows 11,Interactive,none,True,success,Normal
2026-02-19T20:29:21Z,alice.brown@contoso.com,172.16.0.20,0,Success,United States,New York,Microsoft 365 Admin Center,Internet Explorer 11,MacOS 14,Interactive,none,False,failure,Normal
2026-02-19T20:29:21Z,mary.jones@contoso.com,10.0.0.12,0,Success,United Kingdom,New York,Outlook Web Access,Unknown,iOS 17,RemoteInteractive,none,False,success,Normal
2026-02-19T20:29:21Z,helpdesk@contoso.com,10.0.0.5,0,Success,United States,Berlin,OneDrive,Safari 17,iOS 17,Interactive,none,True,success,Normal
2026-02-19T20:31:21Z,finance01@contoso.com,10.0.0.12,0,Success,Germany,Toronto,Microsoft 365 Admin Center,Firefox 121,Unknown,RemoteInteractive,none,True,success,Normal
2026-02-19T20:32:21Z,sarah.lee@contoso.com,172.16.0.5,500121,MFA denied by user,Germany,Sydney,Azure Active Directory,Edge 120,Windows 11,Interactive,none,True,success,Normal
2026-02-19T20:36:21Z,svc.azure@contoso.com,172.16.0.20,0,Success,Germany,Sydney,Azure Portal,Internet Explorer 11,Windows 10,Network,none,True,success,Normal
2026-02-19T20:41:21Z,finance01@contoso.com,172.16.0.5,0,Success,Australia,New York,Azure Active Directory,Edge 120,iOS 17,Network,none,False,success,Normal
2026-02-19T20:44:21Z,it.admin@contoso.com,192.168.1.10,0,Success,Germany,Toronto,Office 365 Exchange Online,Safari 17,Windows 10,Interactive,none,True,success,Normal
2026-02-19T20:45:21Z,john.doe@contoso.com,192.168.1.25,0,Success,Canada,Toronto,Microsoft Teams,Edge 120,Windows 11,RemoteInteractive,none,False,success,Normal
2026-02-19T20:46:21Z,finance01@contoso.com,172.16.0.5,0,Success,Germany,London,Azure Active Directory,Internet Explorer 11,MacOS 14,Network,none,False,success,Normal
2026-02-19T20:49:21Z,svc.backup@contoso.com,10.0.0.5,0,Success,United Kingdom,Toronto,OneDrive,Unknown,MacOS 14,RemoteInteractive,none,True,success,Normal
2026-02-19T20:52:21Z,alice.brown@contoso.com,192.168.1.42,0,Success,United Kingdom,Berlin,OneDrive,Edge 120,Android 14,Interactive,none,True,success,Normal
2026-02-19T20:52:21Z,john.doe@contoso.com,172.16.0.20,50126,Invalid username or password,United Kingdom,Berlin,Azure Active Directory,Firefox 121,MacOS 13,Interactive,none,False,notApplied,Normal
